 Cycle Period    Power(1)    Power(2)    Power(3)    Power(4)    Power(5)    Power(6)    Power(7)    Power(8)    Power(9)    Power(10)
   358      8     0.96002     0.96002     0.96002     0.96002     0.96002     0.96002     0.96002     0.96002     0.96002     0.96002
   358      9     1.31883     1.42700     1.31883     1.42700     1.42700     1.42700     1.31883     1.31883     1.42700     1.54003
   358     10     1.69663     1.69663     1.12028     1.12114     1.69663     1.12114     1.69663     1.69663     1.12028     1.69663
   358     11     1.89075     1.89075     1.89075     1.89075     1.89075     1.73498     1.73498     1.89075     1.73498     1.73498
   358     12     1.99694     1.99694     1.83877     1.99694     1.99694     1.83877     1.83877     1.99694     1.83877     1.99694
   358     13     1.86035     1.86035     2.00858     1.36012     1.36012     1.86035     1.86035     2.00858     1.12028     1.86035
   359      7     0.73922     0.73922     0.73922     0.73922     0.73922     0.73922     0.73922     0.73922     0.73922     0.73922
   359      8     0.97738     0.97738     0.97738     0.97738     0.97738     0.97738     0.97738     0.97738     0.97738     0.97738
   359      9     1.46174     1.58389     1.58389     1.46174     1.46174     1.46174     1.58389     1.46174     1.46174     1.46174
   359     10     1.74057     1.89426     1.74057     1.74057     1.14318     1.12028     1.59503     1.12028     1.89426     1.74057
   359     11     1.78231     1.94526     2.03376     1.78231     1.94526     1.94526     1.56683     1.78231     1.94526     1.94526
   359     12     2.22428     2.22428     2.22428     2.06323     2.22428     2.06323     2.22428     2.22428     2.22428     1.87653
   359     13     1.87653     2.08759     1.87653     2.08759     2.08759     2.08759     2.08759     1.06210     2.08759     2.08759
   360      7     0.43790     0.43790     0.43790     0.43790     0.35403     0.43790     0.43790     0.43790     0.35403     0.43790
   360      8     0.93539     0.93539     0.93539     0.93539     0.93539     0.56602     0.93539     0.93539     0.93539     0.93539
   360      9     1.28002     1.38132     1.44226     1.51502     1.48237     0.91873     1.38132     1.48237     1.51502     1.38132
   360     10     1.51253     1.64453     1.64453     1.64453     1.64453     1.09190     1.09190     1.09190     1.09190     1.64453
   360     11     1.12028     1.21520     1.12028     1.12028     1.21520     1.97222     1.21520     1.21520     1.83369     1.68543
