--------------------------------------------------------------------------------------------------------------------
Turbine Test for Reduced number of cycles
Scenarios: 10
Turbines: 3
Time Limit: 172800
Max Gap: 0.05
-------------------------------------
Status: Unfinished
Profit = 119727
Gap: 72.2424 %
-------------------------------------
 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)
     7      8     2.52587     0.21049     1.05245     2.52587     1.26294     0.00000     2.52587     0.00000     1.26294     2.52587     0.00000     1.26294     2.52587     0.00000     1.26294     2.52587     0.00000     1.26294     2.52587     0.00000     1.26294     2.52587     0.00000     1.26294     2.52587     0.00000     1.26294     2.52587     0.00000     1.26294
     7      9     3.10910     0.00000     1.55455     3.10910     1.55455     0.00000     3.10910     0.44416     1.11039     3.10910     0.00000     1.55455     2.96153     0.00000     1.48077     3.10910     0.30592     1.24863     3.10910     0.00000     1.55455     2.96153     0.00000     1.48077     3.10910     0.00000     1.55455     3.10910     0.00000     1.55455
     7     10     3.32545     0.00000     1.66272     3.32545     1.66272     0.00000     3.32545     0.47506     1.18766     3.65569     0.00000     1.82784     3.32545     0.29199     1.37073     3.32545     0.32721     1.33551     3.32545     1.66272     0.00000     3.32545     0.00000     1.66272     3.32545     0.00000     1.66272     3.32545     1.29368     0.36904
     7     11     1.89274     0.00000     0.94637     1.89274     0.94637     0.00000     1.89274     0.17414     0.77223     3.36084     0.00000     1.68042     1.89274     0.00000     0.94637     1.89274     0.17028     0.77609     1.89274     0.00000     0.94637     3.68577     0.00000     1.84288     1.89274     0.00000     0.94637     1.89274     0.00000     0.94637
     7     12     2.53053     0.00000     1.26527     2.53053     1.26527     0.00000     2.53053     0.23282     1.03245     2.53053     0.00000     1.26527     3.86106     0.00000     1.93053     2.53053     0.22766     1.03761     2.53053     0.00000     1.26527     3.86106     0.00000     1.93053     2.53053     0.00000     1.26527     3.86106     0.00000     1.93053
     8      6     0.82688     0.00000     0.41344     0.82688     0.00000     0.41344     0.82688     0.00000     0.41344     0.82688     0.31569     0.09775     0.82688     0.00000     0.41344     0.82688     0.07897     0.33447     0.82688     0.00000     0.41344     0.82688     0.00000     0.41344     0.82688     0.00000     0.41344     0.82688     0.41344     0.00000
     8      7     1.49777     0.00000     0.74889     1.49777     0.00000     0.74889     1.16706     0.00000     0.58353     1.16706     0.57182     0.01171     1.06210     0.00000     0.53105     1.16706     0.14304     0.44049     1.16706     0.00000     0.58353     0.00000     0.00000     0.00000     1.16706     0.00000     0.58353     1.49777     0.74889     0.00000
     8      8     1.75873     0.00000     0.87936     1.75873     0.00000     0.87936     1.75873     0.00000     0.87936     1.75873     0.00000     0.87936     1.95921     0.00000     0.97961     1.95921     0.00000     0.97961     1.75873     0.00000     0.87936     1.75873     0.00000     0.87936     1.75873     0.00000     0.87936     1.75873     0.00000     0.87936
     8      9     2.24056     1.12028    -0.00000     2.24056     1.12028     0.00000     2.93018     0.12502     1.34007     2.93018     0.60258     0.86251     2.93018     0.76001     0.70508     2.63008     0.53878     0.77626     2.93018     0.64157     0.82352     2.93018     1.11206     0.35303     2.24056     1.12028     0.00000     2.63008     1.31504     0.00000
     8     10     3.24183     0.00000     1.62091     3.36084     0.00000     1.68042     3.37634     0.00000     1.68817     3.37634     0.00000     1.68817     3.37634     0.00000     1.68817     3.36084     0.00000     1.68042     3.37634     0.00000     1.68817     3.37634     0.00000     1.68817     3.24183     0.00000     1.62091     3.37634     0.00000     1.68817
     8     11     0.00000     0.00000     0.00000     3.82092     0.00000     1.91046     0.00000     0.00000     0.00000     3.72386     0.00000     1.86193     0.00000     0.00000     0.00000     3.75657     0.00000     1.87829     3.49550     0.00000     1.74775     0.00000     0.00000     0.00000     3.49550     0.00000     1.74775     3.49550     0.00000     1.74775
     8     12     1.95027     0.00134     0.97380     1.95027     0.00000     0.97513     3.91686     0.51078     1.44765     3.91686     0.98515     0.97328     3.91686     0.95975     0.99868     3.68349     0.00000     1.84175     3.68349     1.21427     0.62747     1.95027     0.04643     0.92870     1.95027     0.97513     0.00000     1.95027     0.00000     0.97513
     8     13     2.48515     0.00137     1.24121     2.48515     0.00000     1.24258     2.48515     0.52269     0.71989     2.48515     1.00811     0.23446     2.48515     0.98212     0.26045     3.68017     0.00000     1.84008     2.48515     1.24258     0.00000     2.48515     0.04752     1.19506     2.48515     0.99786     0.24471     2.48515     0.00000     1.24258
     9      6     0.70807     0.00000     0.35403     0.46251     0.17343     0.05783     0.78457     0.00000     0.39229     0.78457     0.14461     0.24767     0.78457     0.17798     0.21431     0.78457     0.00000     0.39229     0.78457     0.39229     0.00000     0.78457     0.22099     0.17129     0.46251     0.00358     0.22768     0.46251     0.23126     0.00000
     9      7     1.10839     0.00000     0.55420     0.63847     0.00000     0.31924     1.10839     0.00000     0.55420     1.10839     0.00000     0.55420     1.10839     0.00000     0.55420     1.10839     0.00000     0.55420     1.06210     0.53105     0.00000     1.10839     0.09005     0.46415     0.00000     0.00000     0.00000     1.10839     0.11648     0.43772
     9      8     1.12028     0.16998     0.39016     1.12028     0.55953     0.00061     1.14360     0.55816     0.01364     1.12028     0.55813     0.00201     1.12028     0.56014     0.00000     1.99797     0.00000     0.99899     1.14360     0.57180     0.00000     1.12028     0.56014     0.00000     1.12028     0.40283     0.15731     1.12028     0.55819     0.00195
     9      9     2.24056     0.00000     1.12028     2.74552     0.00000     1.37276     2.74552     0.00397     1.36879     2.74552     0.00000     1.37276     2.24056     0.00000     1.12028     2.74552     0.00000     1.37276     2.74552     1.37276     0.00000     2.74552     0.20234     1.17042     2.47509     0.00000     1.23754     2.74552     0.00000     1.37276
     9     10     3.04078     0.00000     1.52039     3.17269     0.00000     1.58634     3.17269     0.00000     1.58634     3.17269     0.00000     1.58634     3.17269     0.00000     1.58634     3.17269     0.00000     1.58634     3.17269     1.58634     0.00000     3.17269     0.30327     1.28307     3.17269     0.51064     1.07571     3.17269     0.00000     1.58634
     9     11     3.26985     0.00000     1.63492     3.26985     0.00000     1.63492     3.26985     0.00000     1.63492     3.26985     0.00000     1.63492     3.26985     0.00000     1.63492     3.26985     0.00000     1.63492     3.26985     1.63492     0.00000     3.26985     0.31256     1.32236     3.26985     0.52627     1.10865     3.26985     0.00000     1.63492
     9     12     0.00000     0.00000     0.00000     3.45431     0.00000     1.72715     3.45431     0.00000     1.72715     3.64940     0.00000     1.82470     3.45431     0.00000     1.72715     3.45431     0.00000     1.72715     3.45431     1.72715     0.00000     3.45431     0.05962     1.66754     3.45431     1.37003     0.35712     0.00000     0.00000     0.00000
     9     13     1.90465     0.00000     0.95233     1.90465     0.00000     0.95233     3.45879     0.00000     1.72940     3.61143     0.00000     1.80571     3.45879     0.00000     1.72940     3.45879     0.00000     1.72940     3.45879     1.20057     0.52883     3.45879     0.04144     1.68796     1.90465     0.95233     0.00000     3.45879     0.00000     1.72940
    10      6     0.71561     0.03962     0.31818     0.71561     0.17094     0.18686     0.71561     0.02862     0.32918     0.42803     0.21402     0.00000     0.42803     0.08445     0.12957     0.42803     0.21402     0.00000     0.42803     0.00000     0.21402     0.71561     0.18676     0.17105     0.71561     0.03962     0.31818     0.71561     0.21680     0.14100
    10      7     1.01186     0.00000     0.50593     1.01186     0.03241     0.47352     0.70807     0.19612     0.15791     1.01186     0.50593     0.00000     1.01186     0.00000     0.50593     0.70807     0.00000     0.35403     1.01186     0.00000     0.50593     1.01186     0.00000     0.50593     1.26497     0.00000     0.63249     1.01186     0.00000     0.50593
    10      8     1.64704     0.00000     0.82352     1.49657     0.00000     0.74829     1.64704     0.00000     0.82352     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.86164     0.00000     0.93082     1.86164     0.00000     0.93082     1.49657     0.00000     0.74829     1.77701     0.00000     0.88850     1.49657     0.00000     0.74829
    10      9     1.84817     0.92408     0.00000     2.32665     0.92408     0.23924     2.05009     0.71409     0.31096     2.20597     1.07537     0.02761     2.42490     0.67286     0.53958     2.42490     0.96762     0.24482     1.06210     0.53105     0.00000     1.06210     0.53105    -0.00000     2.20597     0.92408     0.17890     1.84817     0.92408     0.00000
    10     10     2.80649     0.00000     1.40324     2.69532     1.02899     0.31867     2.80649     0.00000     1.40324     2.80649     1.40324     0.00000     2.69532     0.00000     1.34766     2.55598     0.00000     1.27799     2.80649     0.00000     1.40324     2.55598     0.00000     1.27799     0.70807     0.00000     0.35403     2.24056     1.02899     0.09129
    10     11     3.05249     0.00000     1.52625     2.94147     0.92953     0.54121     2.94147     0.40185     1.06889     2.94147     1.47074     0.00000     2.94147     0.00000     1.47074     2.94147     0.00000     1.47074     2.94147     0.00000     1.47074     2.80550     0.00000     1.40275     2.80550     0.00000     1.40275     2.80550     0.00000     1.40275
    10     12     2.98330     0.00000     1.49165     2.98330     0.94275     0.54891     2.98330     0.40756     1.08409     2.98330     1.49165     0.00000     2.98330     0.00000     1.49165     2.98330     0.00000     1.49165     2.98330     0.00000     1.49165     2.98330     0.00000     1.49165     2.98330     0.00000     1.49165     2.98330     0.00000     1.49165
    11      6     0.35403     0.17702     0.00000     0.38973     0.00000     0.19486     0.38973     0.18605     0.00881     0.38973     0.12028     0.07458     0.38973     0.17477     0.02010     0.35403     0.17259     0.00443     0.38973     0.15135     0.04351     0.38973     0.17327     0.02159     0.35403     0.17702     0.00000     0.38973     0.19486     0.00000
    11      7     0.91130     0.00000     0.45565     0.91130     0.00000     0.45565     0.00000     0.00000     0.00000     0.91130     0.00000     0.45565     0.91130     0.00000     0.45565     0.00000     0.00000     0.00000     0.91130     0.00000     0.45565     0.91130     0.00000     0.45565     0.91130     0.00000     0.45565     0.91130     0.00000     0.45565
    11      8     1.45392     0.72696     0.00000     1.45392     0.24832     0.47864     1.45392     0.17332     0.55364     1.45392     0.72696     0.00000     1.45392     0.72696     0.00000     1.45392     0.72696    -0.00000     1.45392     0.00000     0.72696     1.45392     0.72696     0.00000     1.45392     0.72696     0.00000     1.45392     0.72696     0.00000
    11      9     1.82850     0.00000     0.91425     1.12028     0.00000     0.56014     1.16204     0.00000     0.58102     1.12028     0.00000     0.56014     1.95292     0.13201     0.84445     1.95292     0.24426     0.73220     1.16204     0.00000     0.58102     1.12028     0.00000     0.56014     1.16204     0.58102     0.00000     1.12028     0.00000     0.56014
    11     10     2.13053     0.72470     0.34057     2.13053     0.00000     1.06527     2.13053     0.39239     0.67288     2.47673     0.07299     1.16537     1.06210     0.24203     0.28902     2.13053     0.44784     0.61743     2.47673     0.53953     0.69883     1.06210     0.53105     0.00000     2.13053     1.06527     0.00000     2.47673     1.13062     0.10774
