--------------------------------------------------------------------------------------------------------------------
Scenarios: 10
Turbines: 1
Cycles: 17
Time Limit: 600
-------------------------------------
Status: Unfinished
Profit = 14863.4
Gap: 36.5589 %
-------------------------------------
 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)
     8      7  0.66848  0.07868  0.25556  0.66848  0.33424  0.00000  0.66848  0.03292  0.30132  0.66848  0.24123  0.09301  0.66848  0.15404  0.18020  0.66848  0.00000  0.33424  0.66848  0.03778  0.29646  0.66848  0.33424  0.00000  0.66848  0.15474  0.17950  0.66848  0.33424  0.00000
     8      8  0.85348  0.00000  0.42674  0.85348  0.00000  0.42674  0.85348  0.00000  0.42674  0.85348  0.00000  0.42674  0.85348  0.00000  0.42674  0.85348  0.00000  0.42674  0.85348  0.00000  0.42674  0.85348  0.00000  0.42674  0.85348  0.00000  0.42674  0.85348  0.00000  0.42674
     8      9  1.63426  0.19631  0.62082  1.63426  0.81713  0.00000  1.63426  0.00000  0.81713  1.63426  0.00000  0.81713  1.63426  0.00000  0.81713  1.63426  0.00000  0.81713  1.63426  0.00000  0.81713  1.63426  0.81713 -0.00000  1.63426  0.00000  0.81713  1.63426  0.00000  0.81713
     8     10  1.89735  0.94867  0.00000  1.89735  0.94867  0.00000  1.89735  0.88780  0.06088  1.89735  0.94867  0.00000  1.89735  0.94867  0.00000  1.89735  0.00000  0.94867  1.89735  0.38302  0.56565  1.89735  0.94867 -0.00000  1.89735  0.94867  0.00000  1.89735  0.94867  0.00000
     8     11  2.08826  1.04413  0.00000  2.08826  1.04413  0.00000  2.08826  0.00000  1.04413  2.08826  0.90233  0.14180  2.08826  0.54426  0.49986  2.08826  0.00000  1.04413  2.08826  0.00000  1.04413  2.08826  1.04413  0.00000  2.08826  0.70182  0.34231  2.08826  0.04297  1.00116
     8     12  2.20811  1.05211  0.05195  2.20811  1.10406  0.00000  2.20811  0.00000  1.10406  2.20811  0.36987  0.73419  2.20811  0.16208  0.94198  2.20811  0.00000  1.10406  2.20811  0.07550  1.02856  2.20811  1.10406  0.00000  2.20811  1.10406  0.00000  2.20811  0.00000  1.10406
     9      6  0.46113  0.00000  0.23057  0.46113  0.00000  0.23057  0.46113  0.01246  0.21810  0.46113  0.00000  0.23057  0.46113  0.05054  0.18002  0.46113  0.00000  0.23057  0.46113  0.23057  0.00000  0.46113  0.00000  0.23057  0.46113  0.00000  0.23057  0.46113  0.00000  0.23057
     9      7  0.63605  0.31802  0.00000  0.63605  0.29735  0.02067  0.63605  0.01719  0.30083  0.63605  0.03685  0.28117  0.63605  0.06972  0.24831  0.63605  0.16652  0.15150  0.63605  0.31802  0.00000  0.63605  0.16652  0.15150  0.63605  0.13573  0.18229  0.63605  0.00029  0.31774
     9      8  0.35403  0.17702  0.00000  0.81367  0.03654  0.37029  0.81367  0.19092  0.21591  0.81367  0.00562  0.40122  0.81367  0.05936  0.34748  0.81367  0.16623  0.24061  0.81367  0.40684  0.00000  0.81367  0.13264  0.27419  0.81367  0.19102  0.21582  0.81367  0.40684  0.00000
     9      9  1.54690  0.77345  0.00000  1.54690  0.00000  0.77345  1.54690  0.77345  0.00000  1.54690  0.02529  0.74816  1.54690  0.26716  0.50629  1.54690  0.74816  0.02529  1.54690  0.77345  0.00000  1.54690  0.59699  0.17646  1.54690  0.00000  0.77345  1.54690  0.00000  0.77345
     9     10  1.80886  0.77889  0.12554  1.80886  0.81988  0.08455  1.80886  0.00000  0.90443  1.80886  0.02050  0.88393  1.80886  0.90443 -0.00000  1.80886  0.00372  0.90071  1.80886  0.90443  0.00000  1.80886  0.00000  0.90443  1.80886  0.90443  0.00000  1.80886  0.90443  0.00000
     9     11  1.99680  0.85981  0.13859  1.99680  0.90507  0.09334  1.99680  0.00000  0.99840  1.99680  0.02263  0.97578  1.99680  0.99840  0.00000  1.99680  0.00000  0.99840  1.99680  0.00000  0.99840  1.99680  0.00000  0.99840  1.99680  0.99840  0.00000  1.99680  0.99840 -0.00000
     9     12  2.11742  0.00000  1.05871  2.11742  0.00000  1.05871  2.11742  0.00000  1.05871  2.11742  0.00000  1.05871  2.11742  0.82263  0.23608  2.11742  0.00000  1.05871  2.11742  0.00000  1.05871  2.11742  0.00000  1.05871  2.11742  0.27784  0.78087  2.11742  1.05871  0.00000
     9     13  2.16200  0.00000  1.08100  2.16200  0.00000  1.08100  2.16200  0.00000  1.08100  2.16200  0.00000  1.08100  2.16200  0.83995  0.24105  2.16200  0.00000  1.08100  2.16200  0.00000  1.08100  2.16200  0.00000  1.08100  2.16200  0.28369  0.79731  2.16200  1.08100  0.00000
    10      6  0.42732  0.21366  0.00000  0.42732  0.21366  0.00000  0.42732  0.21366 -0.00000  0.42732  0.21366  0.00000  0.42732  0.21366  0.00000  0.42732  0.21366 -0.00000  0.42732  0.21366  0.00000  0.42732  0.21366 -0.00000  0.42732  0.21366  0.00000  0.42732  0.21366 -0.00000
    10      7  0.59094  0.29547  0.00000  0.59094  0.29547  0.00000  0.59094  0.29547  0.00000  0.59094  0.29547  0.00000  0.59094  0.29547 -0.00000  0.59094  0.29547  0.00000  0.59094  0.29547  0.00000  0.59094  0.29547 -0.00000  0.59094  0.29547  0.00000  0.59094  0.29547  0.00000
    10      8  0.75721  0.37860  0.00000  0.75721  0.37860  0.00000  0.75721  0.37860  0.00000  0.75721  0.37860  0.00000  0.75721  0.37860  0.00000  0.75721  0.00000  0.37860  0.75721  0.37860  0.00000  0.75721  0.37860  0.00000  0.75721  0.37860  0.00000  0.75721  0.00000  0.37860
    10      9  0.91491  0.45745  0.00000  0.91491  0.45745 -0.00000  0.91491  0.45745  0.00000  0.91491  0.45745  0.00000  0.91491  0.45745  0.00000  0.91491  0.45745  0.00000  0.91491  0.45745 -0.00000  0.91491  0.45745  0.00000  0.91491  0.45745  0.00000  0.91491  0.45745  0.00000
    10     10  1.66538  0.00000  0.83269  1.66538  0.00000  0.83269  1.66538  0.00000  0.83269  1.66538  0.00000  0.83269  1.66538  0.00000  0.83269  1.66538  0.00000  0.83269  1.66538  0.00000  0.83269  1.66538  0.00000  0.83269  1.66538  0.00000  0.83269  1.66538  0.00000  0.83269
    10     11  1.85065  0.00000  0.92532  1.85065  0.00000  0.92532  1.85065  0.00000  0.92532  1.85065  0.21354  0.71179  1.85065  0.00000  0.92532  1.85065  0.00000  0.92532  1.85065  0.00000  0.92532  1.85065  0.92532  0.00000  1.85065  0.00000  0.92532  1.85065  0.00000  0.92532
    10     12  1.96264  0.00000  0.98132  1.96264  0.00000  0.98132  1.96264  0.00000  0.98132  1.96264  0.22646  0.75486  1.96264  0.00000  0.98132  1.96264  0.00000  0.98132  1.96264  0.00000  0.98132  1.96264  0.98132  0.00000  1.96264  0.00000  0.98132  1.96264  0.00000  0.98132
    10     13  0.35403  0.00000  0.17702  1.81941  0.00000  0.90971  0.00000  0.00000  0.00000  0.35403  0.00000  0.17702  0.00000  0.00000  0.00000  1.04487  0.00000  0.52244  0.35403  0.00000  0.17702  1.04487  0.00000  0.52244  0.35403  0.00000  0.17702  1.81941  0.00000  0.90971
    11      6  0.39547  0.00642  0.19131  0.39547  0.18554  0.01220  0.39547  0.19773  0.00000  0.39547  0.13610  0.06163  0.39547  0.02572  0.17202  0.39547  0.19742  0.00031  0.39547  0.11144  0.08629  0.39547  0.19773  0.00000  0.39547  0.05646  0.14128  0.39547  0.00000  0.19773
    11      7  0.54676  0.00000  0.27338  0.54676  0.00000  0.27338  0.54676  0.00000  0.27338  0.54676  0.00000  0.27338  0.54676  0.00000  0.27338  0.54676  0.00000  0.27338  0.54676  0.00000  0.27338  0.54676  0.00000  0.27338  0.54676  0.00000  0.27338  0.54676  0.00000  0.27338
    11      8  0.70009  0.05810  0.29194  0.70009  0.00000  0.35005  0.70009  0.35005  0.00000  0.70009  0.35005  0.00000  0.70009  0.28613  0.06392  0.70009  0.00000  0.35005  0.70009  0.31633  0.03372  0.70009  0.06385  0.28619  0.70009  0.02215  0.32790  0.70009  0.00000  0.35005
    11      9  0.84497  0.42248  0.00000  0.84497  0.42248  0.00000  0.84497  0.25974  0.16274  0.84497  0.00647  0.41602  0.84497  0.37458  0.04790  0.84497  0.00000  0.42248  0.84497  0.39853  0.02395  0.84497  0.01832  0.40416  0.84497  0.00000  0.42248  0.84497  0.00000  0.42248
    11     10  1.51170  0.75585  0.00000  1.51170  0.73613  0.01972  1.51170  0.45257  0.30328  1.51170  0.01127  0.74458  1.51170  0.75585  0.00000  1.51170  0.00000  0.75585  1.51170  0.75585  0.00000  1.51170  0.03192  0.72393  1.51170  0.00000  0.75585  1.51170  0.00000  0.75585
    11     11  1.68124  0.84062  0.00000  1.68124  0.00000  0.84062  1.68124  0.00000  0.84062  1.68124  0.82107  0.01955  1.68124  0.84062  0.00000  1.68124  0.00000  0.84062  1.68124  0.62949  0.21113  1.68124  0.15248  0.68814  1.68124  0.03910  0.80152  1.68124  0.84062  0.00000
